#1 arg remaining, starting with 'measured_data.pcap'
#Ostermann's tcptrace -- version 6.6.7 -- Thu Nov  4, 2004

#132898 packets seen, 96305 TCP packets traced
#elapsed wallclock time: 0:00:00.114294, 1162773 pkts/sec analyzed
#trace file elapsed time: 3:38:58.248775
#TCP connection info:
#722 TCP connections traced:
conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

1,173.194.40.254,130.233.85.169,443,57309,1431155305.104623 , 1431155305.114870 ,              3,              2,              0,              0,              3,              2,              1,              1,              0,              0,              0,              0,              0,              0,             63,              0,              1,              0,             63,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             63,              0,             63,              0,             62,              0,            411,             61,            411,             61,              0,              0,            411,             61,             63,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            9.7,            0.2,              0,              0,           6148,              0,              2,              1,            0.1,            9.8,            0.4,            9.8,            0.2,            9.8,            0.0,            0.0,            0.0,            0.0,              1,              1,            0.1,            9.8,            0.1,            9.8,            0.1,            9.8,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
2,74.125.239.143,130.233.85.169,443,57351,1431155305.143604 , 1431155305.143604 ,              1,              0,              0,              0,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,            361,              0,            361,              0,              0,              0,            361,              0,              0,              0,              0,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,     13138209.8,             NA,              0,              0,             NA,             NA,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
3,130.233.85.169,216.58.209.110,57352,443,1431155306.689513 , 1431155366.290411 ,              4,              5,              0,              0,              4,              5,              1,              3,              0,              2,              0,              2,              0,              1,              1,             63,              2,              1,              2,             63,              1,              0,              1,              0,              0,              0,              0,              0,              0,              0,              0,              1,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              2,              0,              0,              0,              0,              0,              0,              1,             63,              1,             63,              0,             62,             61,            389,             61,            389,              0,              0,             61,            389,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,         45.017,          0.000,        45017.1,        45017.1,              0,              0,              0,              1,              2,              2,            8.2,            0.1,           11.3,            0.3,            9.8,            0.2,            0.0,            0.0,            0.0,            0.0,              2,              1,            8.2,            0.1,           11.3,            0.1,            9.8,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              2,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
4,130.233.85.169,64.233.164.125,56875,5222,1431155307.205390 , 1431168435.329355 ,            495,            498,              0,              0,            495,            498,             58,            437,              1,              0,              1,              0,              1,              0,          29314,           9193,            437,             61,          29314,           9219,              0,              1,              0,             26,              0,              0,              0,              0,              0,              0,            437,             61,            0/0,            0/0,            N/N,            N/N,              0,              0,              N,              N,              1,              0,              0,              0,              0,              0,              0,              0,           1029,            475,             26,             26,             67,            151,            256,            959,            252,            509,              0,              0,            253,            753,             26,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,      13128.106,      12679.437,        40628.7,        40632.1,              0,              0,              2,              1,            437,             58,           16.3,            0.1,          266.9,          206.5,           23.7,           64.8,           30.0,           36.8,            0.0,            0.0,             11,             17,           16.7,            0.1,          208.3,          206.5,           51.2,           64.8,           74.8,           45.4,              0,              0,              0,              1,            0.0,            0.1,            0.0,            0.1,            0.0,            0.1,            0.0,            0.0,              0,              1,              0,              0,              0,              0,              0,              1,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
5,130.233.85.169,50.31.164.166,57315,443,1431155307.658113 , 1431155428.298595 ,              5,              5,              0,              0,              5,              5,              1,              4,              0,              0,              0,              0,              0,              0,              1,              0,              3,              0,              3,              0,              2,              0,              2,              0,              0,              0,              0,              0,              0,              0,              0,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,              1,              0,              0,              0,          15358,          10297,          15358,          10297,              0,              0,          15358,          10297,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,         90.287,          0.000,        45146.2,        45145.6,              0,              0,              0,              0,              2,              1,          136.0,            0.2,          136.0,            0.2,          136.0,            0.2,            0.0,            0.0,            0.0,            0.0,              2,              1,          136.0,            0.2,          136.0,            0.2,          136.0,            0.2,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              3,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
6,216.58.209.138,130.233.85.169,443,57341,1431155309.307250 , 1431155309.316738 ,              3,              2,              0,              0,              3,              2,              1,              1,              0,              0,              0,              0,              0,              0,             63,              0,              1,              0,             63,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             63,              0,             63,              0,             62,              0,            394,            192,            394,            192,              0,              0,            394,            192,             63,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            9.1,            0.1,              0,              0,           6640,              0,              2,              1,            0.1,            9.1,            0.4,            9.1,            0.3,            9.1,            0.0,            0.0,            0.0,            0.0,              1,              1,            0.1,            9.1,            0.1,            9.1,            0.1,            9.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
7,216.58.209.110,130.233.85.169,443,57317,1431155316.537186 , 1431155316.546301 ,              3,              2,              0,              0,              3,              2,              1,              1,              0,              0,              0,              0,              0,              0,             63,              0,              1,              0,             63,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              0,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              0,              0,              0,              0,              0,              0,              0,             63,              0,             63,              0,             62,              0,            898,             62,            898,             62,              0,              0,            898,             62,             63,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,            9.1,            0.2,              0,              0,           6912,              0,              1,              1,            0.1,            8.8,            0.1,            8.8,            0.1,            8.8,            0.0,            0.0,            0.0,            0.0,              1,              1,            0.1,            8.8,            0.1,            8.8,            0.1,            8.8,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              1,              0,              1,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
8,130.233.85.169,216.58.209.138,57353,443,1431155316.582013 , 1431155331.211100 ,              3,              4,              0,              0,              3,              4,              1,              2,              0,              1,              0,              1,              0,              1,              1,             63,              1,              1,              1,             63,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,            0/1,            0/1,            N/N,            N/N,              0,              0,              N,              N,              0,              1,              0,              0,              0,              0,              0,              0,              1,             63,              1,             63,              0,             62,             64,            361,             64,            361,              0,              0,             64,            361,              1,              0,              1,              0,             NA,             NA,             NA,             NA,              0,              0,              0,              0,          0.000,          0.000,        14616.9,        14607.8,              0,              0,              0,              4,              2,              2,            8.7,            0.1,           12.2,            0.3,           10.5,            0.2,            0.0,            0.0,            0.0,            0.0,              2,              1,            8.7,            0.1,           12.2,            0.1,           10.5,            0.1,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              1,              0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
9,130.233.85.169,157.56.121.231,57362,443,1431155318.873781 , 1431155336.735176 ,              7,              5,              0,              1,              6,              5,              4,              0,              0,              0,              0,              0,              0,              0,            217,           2942,              1,              3,            217,           2942,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/0,            Y/N,            Y/N,              8,              8,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            217,           1460,            217,             22,            216,            980,         262144,          65536,         261888,          65536,              0,              0,         262058,          49152,            217,           1460,              1,              1,            217,             NA,              0,             NA,              0,              0,              0,              0,          0.000,          0.043,        10684.9,        10758.0,              0,              0,             12,            165,              3,              4,           43.0,            0.1,           73.0,            0.2,           53.0,            0.1,           17.3,            0.0,           43.0,            0.2,              2,              1,           43.0,            0.2,           43.0,            0.2,           43.0,            0.2,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
