actual_data_bytes_a2b	actual_data_bytes_b2a	rexmt_data_pkts_a2b	rexmt_data_pkts_b2a	RTT_avg_a2b	RTT_avg_b2a	RTT_stdev_a2b	RTT_stdev_b2a
46985	59049	1	2	59.0	21.6	23.0	17.1
45241	58912	0	5	24.0	0.4	40.0	0.2
0	0	0	0	9.3	0.0	0.0	0.0
0	0	0	0	8.9	0.0	0.0	0.0
0	0	0	0	9.6	0.0	0.0	0.0
0	0	0	0	9.3	0.0	0.0	0.0
0	0	0	0	8.8	0.0	0.0	0.0
0	0	0	0	8.9	0.0	0.0	0.0
0	0	0	0	9.9	0.0	0.0	0.0
0	0	0	0	9.6	0.6	0.0	0.0
0	0	0	0	9.2	0.0	0.0	0.0
0	0	0	0	8.7	0.0	0.0	0.0
0	0	0	0	9.3	0.0	0.0	0.0
0	0	0	0	8.9	0.0	0.0	0.0
0	0	0	0	9.5	0.0	0.0	0.0
0	0	0	0	9.7	0.0	0.0	0.0
0	0	2	0	0.0	0.0	0.0	0.0
0	0	0	0	0.3	10.5	0.0	0.0
0	0	0	0	0.3	9.0	0.0	0.0
0	0	0	0	0.4	9.5	0.0	0.0
509	4290	0	0	9.7	0.3	0.7	0.0
1	0	0	0	74.7	0.3	0.0	0.0
1	0	0	0	27.7	0.6	0.0	0.0
1	0	0	0	90.0	0.6	0.0	0.0
1	0	0	0	10.7	0.3	0.0	0.0
3626	6915	0	0	9.7	0.5	1.1	0.5
382	58870	0	0	9.4	0.5	0.0	0.2
6825	73275	0	0	26.0	31.0	19.9	37.8
648	812	0	0	24.2	0.5	19.4	0.2
1201	500440	0	0	9.1	1.7	0.5	8.8
2544	19119	0	0	11.6	9.0	2.1	25.7
3211	2703	0	0	18.8	67.4	1.0	56.3
47130	242	0	0	12.9	0.3	10.0	0.1
1623	45915	0	0	10.1	0.5	0.7	0.2
1	0	0	0	18.4	0.3	0.0	0.0
513	381	0	0	9.0	42.9	0.6	73.6
1	0	0	0	9.9	0.9	0.0	0.0
989	648	0	0	12.1	67.9	20.1	78.3
2968	25415	0	0	10.1	37.8	0.7	45.6
1475	4662	0	0	27.1	0.4	17.4	0.2
2839	1424	0	0	32.2	62.7	0.2	72.1
573	248	0	0	2.0	16.8	0.2	28.5
1408	9946	0	0	211.4	1.3	62.8	2.2
1342	1266	0	0	5.9	29.7	6.1	34.8
1338	59992	0	0	15.2	14.6	13.8	26.1
2396	48774	0	0	20.3	22.2	19.2	39.3
1269	1138	0	0	28.0	53.6	0.4	49.2
310	3898	0	0	1195.1	0.6	0.0	0.1
952	3967	0	0	149.9	13.1	1.6	18.2
0	0	0	0	8.5	0.5	0.0	0.0
0	0	0	0	10.1	0.2	0.0	0.0
0	0	0	0	9.7	0.2	0.0	0.0
0	0	0	0	2.7	0.2	0.0	0.0
0	0	0	0	9.9	1.1	0.0	0.0
